id,sarcasm_label,certainty_1,certainty_2,speaker,gender,transcription
u47,0,,,子铭,male,我有口吃我是我算是从小就有口吃
u48,1,2.0,t a,子铭,male,我算是从小就有口吃我的印象里我是小的时候我和别人学的所以我是算是从小我的学习能力就很强
u49,0,,,子铭,male,像我之前的口吃是很严重的是会卡壳到没法去和别人面对面地交流
u50,1,2.0,t a,子铭,male,去和别人面对面地交流身边的朋友十分好奇啊说子铭这你为啥为啥不和小爱同学交流交流主要是我的这个语速有时候我也召唤不出来
u51,0,,,子铭,male,我就去了口吃康复班据说这位康复班的老师呢算是自己治好了自己的口吃然后治疗的方法就是户外的演讲
u52,1,3.0,t a v,子铭,male,据说这位康复班的老师呢 算是自己治好了自己的口吃 然后治疗的方法就是户外的演讲 三十天呢我是做了八百多次的户外演讲 然后呢这些对我的改变很大 演了一段时间 我就发现我晒黑了
u53,0,,,子铭,male,然后当时的康复班还是很有收获的就是交到了一个和我情况非常像的口吃朋友
u54,1,2.0,t a,子铭,male,我俩说话的画面就很好玩就是我是哈哈哈哈然后他是哈哈尔滨去过吗
u55,0,,,子铭,male,这个要看我的状态不过可能有些字就是无论我是说了多少次呢都会在这卡壳的
u56,1,3.0,t a,子铭,male,让我骂完就跑然后呢别人全都骂完了我在旁边骂得断断续续的然后他们打我也是断断续续的因为他们总感觉我有话想说
u57,0,,,陈述,male,大家好我是陈述我是一个零零后然后谢谢我今年23岁我是大学毕业之后去了北京然后开始讲脱口秀
u58,1,3.0,t a,陈述,male,然后开始讲脱口秀但我平时最主要的收入还是来源于我另外一份非常稳定的职业儿子
u59,0,,,陈述,male,但进入社会之后还向家里要钱就的确会真的很纠结不知道该怎么措辞给我五千这句话真的太难开口了尤其是前面那个动词它很难拿捏尺度因为你
u60,1,3.0,t a,陈述,male,甚至到后来电话都不打了直接微信发五个字爸还差五千过一会儿钱就打过来一字千金
u61,0,,,陈述,male,因为你长大了之后跟父母打电话真的不知道该说些什么好最多只能尽量的想办法寒暄几句最近怎么样身体还好吗
u62,1,3.0,t a,陈述,male,当然我也能预料到他们的态度所以一开始我不太敢告诉他们我具体是在做什么可时间一长家里人不知道你在干嘛又每隔一段时间不停让家里打钱他们总会怀疑你出了什么事我每次都跟他们解释我说放心我没出事我挺好的这边的朋友都很照顾我他们都鼓励我加油好好干你这么年轻一定能成功的我只是现在需要钱我这个干好了之后很挣钱的
u63,0,,,陈述,male,很难获得他们的支持然后我朋友就跟我说如果你既想全职做喜剧又不想依靠家里的话那你可以平时用一些闲钱做一些投资
u64,1,2.0,t a,陈述,male,闲钱我说我哪有闲钱我只有忙钱什么是忙钱就钱来了就走了忙钱
u65,0,,,陈述,male,但我上面说的其实都是以前的情况现在也开始挣到钱了也上了节目也会收到一些劳务有了钱之后就终于能够有底气地去面对父母
u66,1,2.0,t a,刘仁铖,male,我是一个江西人老家在江西省南昌市安义县很小的一个地方每个地方都有自己特色比如说山东是孔孟之乡江南是鱼米之乡我们安义县也有我们安义县是中国铝合金门窗之乡
u67,0,,,杨天真,female,对我觉得他的那个文本是非常完整的然后爆梗其实也都铺排的很到位而且我比较喜欢这种带一点文化的梗
u68,1,2.0,t a,刘仁铖,male,从小我见过的每一个亲戚都是做门窗的这导致什么结果呢导致我从小就以为我没得选只能做门窗小时候我不知道这个叫什么长大了知道了这个叫种姓制度
u69,0,,,郭麒麟,male,非常感谢 郭老师呢 为什么会按灯 会按人家写得好啊 但是我可能是因为您第一次站在这舞台上演出 对还有点紧张 肯定不那么游刃 但我觉得就单纯这文本 就你把这打给我看 我觉得都挺有意思的
u70,1,3.0,t a,刘仁铖,male,从小在店里面长大我家店有个非常严肃的名字是我爸取的叫胖子门窗能听出来我爸是个非常真诚的人他这个名字取的呀你都不用进去就知道里面有什么胖子和门窗
u71,0,,,吴镇宇,male,我希望我有机会再按一次 因为我觉得他很顺 所以先给一个 但是我就一直等想再按一次的机会 所以我比较前按 但是就后来就 我的问题
u72,1,3.0,t a v,刘仁铖,male,但那太残忍他没有说出口但作为儿子我很争气我自己就不想念了所以当我鼓起勇气告诉我的父母我不想上学的时候他们的反应既不是我想象中的愤怒或者震惊而是一种强忍着喜悦我永远都忘不了我跟爸爸说爸我不想上学了我爸这可是你自己说的啊没有人逼你吧
u73,0,,,刘仁铖,male,这个本子演了多长时间了 这个本子演了三个月 因为虽然我演过很久的脱口秀了 但为了上节目 这是一段新写的内容 就觉得比较适合当一个自我介绍
u74,1,3.0,t a,刘仁铖,male,我说妈这也太荒唐了不过你们能听出来我们那确实算得上是名门望族没有书香全是门第所以我也明白我不能怪我父母我们那风气确实有所不同比如在我们村出现第一个大学生之前已经出现五个百万富翁了你和他们说书籍是人类进步的阶梯他们不屑一顾铝合金是更好的阶梯
u75,0,,,徐峥,male,印象很深刻很很很很很淳朴的一个一个本子感觉是在线下磨了很长时间的那种因为里面那个段子的这个密集程度然后爆梗也都有这种听上去像专场里面挪出来的这个段子
u76,1,3.0,t a,刘仁铖,male,很久他才相信我我最后还问了他个问题诶保安大哥为什么在上海防盗窗这么少啊真的很少你们可能不知道我是专业的我知道特别少我说为什么难道在上海生活的人都不怕被偷吗没想到保安大哥给我一个特别有哲理的答案他说因为在上海啊贼难生存
u77,0,,,笼包,male,先跟大家做个自我介绍我叫笼包我应该是今天所有现场演员当中离咱们上海最远的一位朋友
u78,1,2.0,t a,笼包,male,好意我在第二辆车上的时候我甚至想到了我说怪不得我们北方人老说南方人比我们会做生意是有原因的你看你们在拒载的时候都愿意先撒一些善意的谎言多么高贵的品质
u79,0,,,周奇墨,male,其实最近呢总会有观众问我说周奇墨怎么总感觉你上完脱口秀大会第四季以后就没啥动静呢啊为啥其实原因也很简单啊就是我总想起那句老话枪打出头鸟
u80,1,3.0,t a,周奇墨,male,这两年我的生活也有了很大的变化比如我现在就搬到上海来了啊然后也就开始喝咖啡了说实话没有那么愿意喝但是我听说在上海如果你不喝咖啡的话不给你办那个积分落户
u81,0,,,周奇墨,male,我家楼下啊就有一家连锁的咖啡店啊我没事就过去点一杯它现在有个点单系统很有意思就如果你在手机上点单并且支付完成以后它会给你发过来一个成语啊比如说好事成双然后你到了门店到了柜台前你啥也不用干你就对着店员说好事成双他就把你的咖啡给你
u82,1,3.0,t a v,周奇墨,male,咖啡给你我觉得这个系统很巧妙但是呢也有漏洞其实我一天可以去他们家的很多店随便说一个成语试试完全可以啊随便走进一家店你好不劳而祸没有吗啊那可能是我记错你试一下那个歪打正着你看看也没有啊也没有要不你再试试死缠烂打呢啊服务员说这样吧先生我这有杯臭不要脸先给你吧啊
u83,0,,,周奇墨,male,我到了上海以后我爸也过来看过我啊他从东北那个小城市过来对于上海这种大都市的文明啊他非常不适应啊我们整栋楼所有的快递平时都是放在一楼大堂我爸第一次看见就愣住了
u84,1,3.0,t a,周奇墨,male,排骨炖豆角哇我在上海这么长时间我能吃到一口地道的东北菜那个感觉非常复杂就那一口下去我就感觉我的小学我的中学我的前半生啊都在我脑海中闪回就跟那种濒死体验一样就那个时候我才意识到豆角没熟
u85,0,,,周奇墨,male,而且我现在在上海之前在北京也是北漂我发现我跟我之前在东北的同学联系越来越少就有的时候跟啊他们聊天会让我有一点难受
u86,1,3.0,t a,周奇墨,male,那你不上春晚你平时都干啥啊你还讲脱口秀呢吗大个儿我告诉你干啥你直播带货直播现在老挣钱了你说你又有流量你就咔咔带货呗啊你不脱口秀天花板吗你就卖天花板
u87,0,,,徐峥,male,次要任务呢来到这个舞台上非常高兴啊看见很多熟悉的老面孔新朋友啊看到很多青年演员呢我是很有感慨就是看到他们就像看到我当年一样
u88,1,2.0,t a ,徐峥,male,然后我妈就来了我妈来了说怎么还撒谎呢你跟谁学的我说我跟斯坦尼斯拉夫斯基学的然后那天我的脸上掌声雷动我说妈你别鼓掌了我脸都肿了
u89,0,,,徐峥,male,我其实跟在座的各位演员一样都是从剧场里面走出来的啊从小就在剧场里面演戏每当放学了以后我就骑车到这个剧场然后在剧场的后台做作业
u90,1,3.0,t a ,徐峥,male,其实做演员是很容易被新人打败的因为观众永远需要看到新面孔需要看到新鲜的血液你看那个贾冰它长得虽然比我老但是大家还是觉得他新鲜老新鲜了
u91,0,,,史妍,female,加油大家好我叫史妍然后我来自东北我平时在沈阳那边儿讲这个脱口秀这玩意儿
u92,1,3.0,t a ,史妍,female,性格怎么还能在东北这么一个遍地都是狠人儿的地方还能正常生活呢我自己想了一下其实在i人这个概念出现之前还有一个词儿专门形容我们这个性格叫腼腆但是我家长辈们他们不认识这俩字
u93,0,,,史妍,female,这也就是我为啥现在能在一个物业公司上班就是物业这个工作怎么说呢就是这个工作在我们东北这边儿吧就是这个工作倒是挺稳定就是办公环境不太稳定
u94,1,2.0,t a ,史妍,female,这节目挺好这节目我刚才在底下看了一圈儿这节目i人跟e人都齐了i齐e嘛
u95,0,,,史妍,female,这人儿他就跟等灯过不去后来让我们换那个电梯里头的灯他说把电梯里都给我换成紫外线灯我要把病毒杀死在我家门口
u96,1,3.0,t a ,史妍,female,就是这个工作像我们东北这边吧就是这个工作倒是挺稳定就是办公环境不太稳定我们办公室那个窗户吧有时候有玻璃有时候没有这个代表了我们的用户满意度
u97,0,,,史妍,female,秋天也不好干一到秋天我们东北那边就开始晒秋菜啊就晒大白菜晒大葱啥的我们准备过冬了但是晒大葱就存在一个问题就是丢大葱
u98,1,2.0,t a ,史妍,female,啊你们物业都没有人儿那能有人儿吗都找大葱去了真的啥都找物业前一阵有个业主给我们打电话说要我们帮他家撬门他说他把他钥匙是锁车里了车钥匙锁家里了我说你这么复杂的情况你就得找专业的小偷了
u99,0,,,史妍,female,除了做工资还让我收物业费我现在收物业费这个活经常能得到我们业主的肯定他们一来的时候就说啊你们收物业费的时候挺认真呢
u100,1,3.0,t a ,史妍,female,其实我们物业这个工作吧怎么说呢就是这个工作它跟踢足球差不多少就是你也不需要有啥技术能扛住骂就行
u101,0,,,徐峥,male,视角而且像史妍这样的这类演员她其实一上来就是就形成自己风格了
u102,1,2.0,t a ,史妍,female,扛住骂就能挣钱有的时候来的那人我都不知道是业主是球迷啊我说好像就是球迷走错场地了呢呼啦来一帮人当就给门踢开了我们花的钱养你们这帮废物
u103,0,,,史妍,female,是我就我从小就挺胆儿就挺小完了你现在没有办法了小时候不敢跟老师说话但是现在孩子上学你家长得跟老师沟通我寻思我寻思我练练胆儿
u104,1,2.0,t a ,王耀繁,male,对大家平时应该很难见到法医尤其是活着的时候
u105,0,,,王耀繁,male,等他被捞上来大家对法医的印象可能都是来自于影视剧那里面的法医一个个又高又帅真的很过分有时我跟朋友介绍说我是个法医朋友反应都是啊不像啊
u106,1,2.0,t a ,王耀繁,male,不会所以在我们那里长相不重要啊关键是要有力气因为得抬来抬去嘛我刚做法医的时候手脚很笨抬到一半掉在地上真的丢死人了
u107,0,,,王耀繁,male,我当年学法医完全是个意外选导师的时候有些很热门的导师我怕抢不上于是我选了一个相对冷门的
u108,1,3.0,t a ,王耀繁,male,我就在想我到底要不要继续来学法医然后我导师一句话点醒了我他说小王别的专业各有各的好但我们法医绝对不会有医患矛盾
u109,0,,,王耀繁,male,很多人一提到法医会联想到一些恐怖的情节啊一个人面对尸体啊其实一般不会啊因为涉及到一些证据的有效性我们法医很多时候是不能单独面对尸体啊
u110,1,3.0,t a ,王耀繁,male,有朋友很好奇我们法医的收入就别的单位我不了解在我们单位我的收入方式是计件的
u111,0,,,徐峥,male,这恐怖片啊这是这个这个是真正的黑色幽默对他有一种不可取代性而且必须是由他来说
u112,1,2.0,t a ,多多,male,学好数理化没让我学英语走遍天下走遍上海都困难
u113,0,,,多多,male,hello大家好我叫多多我现在在上海读研学的工科电气工程我非常不喜欢这个专业我高中的时候想学表演当演员我爸非逼着我学工科也不说为什么就只会说学好数理化走遍天下都不怕
u114,1,2.0,t a ,多多,male,走遍天下都不怕也没说怕什么就反正什么都不怕我要是走在路上遇到有人抢劫我让我把钱交出来我说等一下要钱没有但你看化学九十五抢劫犯说厉害厉害不抢了不抢了
u115,0,,,多多,male,那现在我这个小小号不行了这个电气工程专业我学六年了大学四年研究生两年年年倒数
u116,1,2.0,t a ,多多,male,我爸高中都没读完没过几年我哥就出生了我哥六岁上小学五年级逃课去网吧四季风雨无阻三餐简单对付我爸可能觉得这个号练废了啊那一年我又出生了
u117,0,,,郭麒麟,male,但这儿也是为了来跟大伙儿学习 他这个确实中间好几个包袱设计得非常巧妙 因为我一般习惯到最后才给票
u118,1,3.0,t a ,多多,male,有什么好痛苦的 我最想做的事情就是讲脱口秀 他知道我每天为了讲这种开放麦 来回地铁四个小时 一分钱挣不到 只为了上台当几分钟小丑 他问我 诶 你为什么不把那些时间拿去要饭 还能为什么 地铁不允许
u119,0,,,杨天真,female,我感觉就是看了一个 诺米历险记 然后我 就是第一次觉得对自己的中文听力产生了怀疑
u120,1,3.0,t a ,毛冬,male,又来上海演出了几年了已经每次来上海我都特别感叹朋友们就是上海太洋气了前两天去了一个朋友聚会聚会上一半人都有英文名儿另一半老外
u121,0,,,毛冬,male,我没有英文名哪怕我当年甚至还在国外上过几年学我都没给自己起过英文名我用的是我的中文名拼音冬拼音是DONG
u122,1,3.0,t a ,毛冬,male,每次我去星巴克买咖啡店员做完那个咖啡叫我说MaoDong我说哎三叔勾起了我的思乡之情我说这想我的风到底还是从郑州刮到了大洋彼岸啊
u123,0,,,毛冬,male,最近又获得了一个新称呼朋友们最近有时候遇到一些新朋友呃会出于尊重叫我毛东老师
u124,1,2.0,t a ,毛冬,male,我当时就驱车上前我说我要跟这个司机理论一下我想骂他两句但有时候人是这样的我太激动了我嘴已经张开了但我还没决定说啥我就只能在这啊那司机也懵了司机从来没有见过这么纯粹的不含任何信息含量的开场白
u125,0,,,毛冬,male,害怕这种场景了我这人本来就好面子自从干了这行干了这个工种之后不瞒大家说虽然不是啥大明星但有时候有些观众会认识你我内心深处最大的恐惧就两个一个是在外面吵架被观众认出来一个是在外面讲价被观众认出来
u126,1,2.0,t a ,唐香玉,female,村里第一位女艺人我们家族连夜修改了家谱以前给我写的就是唐氏四子长女连个名字都没有现在给我改成唐氏四子长女香玉括号上过脱口秀节目还说以后我每上一个节目就再给我加一个括号照这个速度发展下去将来很可能给我单独建一个祠堂
u127,0,,,唐香玉,female,三十个工作日肯定发货家里很怕我将来没有人要从小就给我预设了一个婆家四五岁的时候就跟我说你不叠被子以后婆家笑话不会包饺子婆家笑话
u128,1,3.0,t a ,唐香玉,female,我现在还不想结我妈说我知道你不想结但你先结问题是我跟谁结她急了你先别管跟谁结你先结我已经听不懂了都说现在婚姻自由没想到这么自由哈这玩意儿都能预售了吗
u129,0,,,唐香玉,female,不光父母催啊亲戚们也来操心有个大娘甚至连我的名字都忘了却还记得我的年龄
u130,1,3.0,t a ,唐香玉,female,除掉我吧还有人来提醒我你弟的媳妇将来进了门以后你就是外人了你知道吧我只知道嫁出去了是外人怎么嫁不出去也是外人我到底是哪里人我里外不是人
u131,0,,,徐峥,male,其实我觉得她很幽默的很有自己的风格的诶我想了解你的个人专场的话应该有就是除了这个还有很多其他的完全不一样的内容是吧
u132,1,2.0,t a ,唐香玉,female,他们把这个矛头转向了我表妹你姐姐已经魔怔了你要是不赶紧成家以后就跟她一样到处漂泊没有人管我表妹都要哭了还有这种好事啊吓得她当场发誓要成为村里第二位女硕士生育率没帮上忙升学率我带起来了
u133,0,,,郭麒麟,male,我是觉得首先您的这个方式就比较新奇这种问题其实是真正存在的
u134,1,2.0,t a ,小海,female,我现在都不敢跟别人说我老公是干啥的因为他们那个回答就好像我说的是我老公死了你老公干啥的全职炒股你也不要太难过了好好一个人可惜了家里老人还不知道吧
u135,0,,,小海,female,不过他现在也没闲着他现在开始搞一些副业他现在开始写小说了已经写了十万字还成了签约作者
u136,1,3.0,t a ,小海,female,他赔的钱越多他会做的家务就越多现在每天给我做早餐还目送我出门上班我觉得好像男人拥有的财富越少这个男人就越好男子无财便是德嘛
u137,0,,,杨天真,female,我觉得小海有一种诡异的风格 就是那种低调的阴阳怪气
u138,1,3.0,t a ,小海,female,好女人的加油站真的姐妹们以后你们找对象不用上什么约会软件你就上同花顺一个渣男都没有呀全中国的好男人都在上面趴着你看他怎么对股票他就会怎么对你你看他那股票都腰斩了他还是不抛弃所以就算你哪天上半身都没了只剩两条腿他也会坚定地看着你说我相信你能长回来
u139,0,,,徐峥,male,因为就是现实主义 就是家庭生活其实是很难描述的 就说出来像恐怖片一样 但是她还是把它做戏剧化的这个处理 所以有人一直说就是 放进了看是悲剧 放远了看是喜剧
u140,1,2.0,t a ,王建国,male,好啊好就行因为不好我也没有什么办法我的处境有点危险呢你们是没看着上面那集你们不知道挑战魔王的选手有多么凶狠上一场的魔王也很丢人呢庞博周奇墨让人新选手打得稀碎啊碎得都拼不上啊现在轮到我了大家祝我碎碎平安吧
u141,0,,,王建国,male,太崩溃了录节目录这节目太累了但是也有好事发生啊就是前几天我们四个魔王一起飞了一趟香港见到了周星驰先生
u142,1,2.0,t a ,王建国,male,是拿这个电脑写的啊你们HongKong没有电脑吗但是人家周奇墨就能讲出东西来周奇墨就说我这个脱口秀啊就是先找到一种这个负面情绪啊然后再用段子去化解具体是这样的就吧啦吧啦讲了一整套然后其他人听着就频频点头啊只有我眉头紧锁我心想就他讲的那些玩意儿我怎么全都不知道啊
u143,0,,,徐峥,male,这个非常非常理解这个王建国就是有的时候你拍这影也是这样你拍了一个片子比如说你要去你要在里面有你的表达然后你要你也不得不要去看影评你要看会有人喜欢会有人不喜欢其实这些事情都很正常但是有的时候你自己永远会感觉自己哪些就是好像做得很不好一样
u144,1,2.0,t a ,王建国,male,我经常被自己说出的话吓出一身半的冷汗没错朋友们我已经是个中年人了身体非常的虚什么事都做不好但唯独特别擅长出汗一身半那是起步价随随便便就出两身汗单身汗的日子一去不复返了
u145,0,,,杨天真,female,嗯就是我的感觉有点单口喜剧的表达方式有各种各样表现形式有各种各样嗯我听你讲完以后我觉得我没抓到真实的你是什么样子的所以我会觉得有一点模糊感
u146,1,3.0,t a ,于祥宇,male,我这个大学专业学的是哲学大家一般听到那个反应就哇那就是有文化没工作这个我读哲学确实是不太好找工作而且我身边有些朋友还会调侃我说找不到工作怎么了你们学哲学的人不是都很通透吗你虽然找不到工作但是你可以辨证地看待这个问题啊
u147,0,,,于祥宇,male,我咋辨证啊说实话我真的一点都不通透因为我学完哲学吧跟大家学任何专业一样还是要出来找工作打工的我发现现实生活跟我学的不一样的时候我只会更加矛盾
u148,1,3.0,t a ,于祥宇,male,我上午还在上课我学那个资本论什么资本会无情地压榨你剥削你的剩余价值资本来到世间从头到脚都留着血跟肮脏的东西我下午去面试的时候往那一坐我可以加班什么亚里士多德呀多劳才能多得
u149,0,,,于祥宇,male,我去年经济压力真的还挺大 因为我刚毕业 确实找不找工作 然后想干脱口秀 脱口秀行情又不太好 而且当时我对象也被裁员了 就半年多完全找不到合适的工作
u150,1,3.0,t a ,于祥宇,male,我决定了咱俩就去开网约车吧她说好主意啊就差一辆车了我说我研究过了咱俩可以先租个车等赚了钱再买就行她说先租车再买车你没看过骆驼祥子吗于祥宇你要租车你就完了你就一直给人干吧你还叫什么祥宇你就叫祥子
u151,0,,,于祥宇,male,我这个人我真的很矛盾因为我上学的时候导师跟我们说这个咱们学哲学啊不是为了赚钱买房买车是为了追求纯粹的精神世界啊
